strategy,transaction_cost,cumulative_return,annualized_return,annualized_volatility,sharpe_like,max_drawdown
12m_momentum,0_bps,0.47729771823509304,0.14765735643141187,0.1333604128610759,1.10720530376004,-0.08898430534959567
regime_aware_ml,0_bps,0.5668434805414009,0.17174354564980843,0.14493136825594852,1.1849991324618536,-0.11403906164256117
SPY,0_bps,0.7438324218759544,0.21684978543181144,0.1196020427726131,1.8130943285315395,-0.08325838773868999
