strategy,transaction_cost,cumulative_return,annualized_return,annualized_volatility,sharpe_like,max_drawdown
12m_momentum,0_bps,0.47729771823509304,0.14765735643141187,0.1333604128610759,1.10720530376004,-0.08898430534959567
12m_momentum,10_bps,0.4656743108676986,0.14446222372088302,0.13331612909583862,1.083606497583137,-0.08958093720561167
12m_momentum,25_bps,0.4484008283496188,0.1396835238746028,0.1332582370998489,1.0482168075654452,-0.09047551876447402
regime_aware_ml,0_bps,0.5668434805414009,0.17174354564980843,0.14493136825594852,1.1849991324618536,-0.11403906164256117
regime_aware_ml,10_bps,0.549235481941571,0.16707904458771283,0.14520564280927922,1.1506374088172544,-0.11738169578765012
regime_aware_ml,25_bps,0.5231757079856796,0.16011222072143205,0.14562753117340568,1.099463950472241,-0.12237656101944783
